ParticipantId,QuestionId,Seq,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MiddleGamma,HRV,Exam Difficulty,Cognitive Load Level
1,1,117,7041,67162,2745,24463,15366,6498,2833,1341,30.91,1,1
1,1,118,10236,10323,6272,6600,9727,1724,4414,1782,48.02,1,1
1,1,119,3268,4301,594,2197,3768,4658,1210,959,27.29,1,1
1,1,120,18246,7029,2171,13633,12038,5915,5440,2425,32.81,1,0
1,1,121,22413,7876,1765,1909,8942,3317,3595,735,35.57,1,1
1,1,122,19218,1012,6032,3028,5865,5230,2819,1288,24.15,1,0
1,1,123,13325,7332,4130,6159,6741,1914,2417,2188,25.52,1,0
1,1,124,7755,10307,18924,1714,900,2500,4091,1039,25.94,1,1
1,1,125,13789,35193,7042,2552,11413,5247,2398,545,35.84,1,2
1,1,126,4433,7832,4477,4375,8589,3269,4012,1071,24.98,1,1
1,1,127,14291,12983,5971,370,3120,1525,2161,1043,8.17,1,1
1,1,128,13282,8006,2126,2110,2864,1244,1791,1293,14.58,1,1
1,1,129,4198,11049,4326,6830,9836,4710,6474,670,29.86,1,1
1,1,130,86146,42924,7461,7822,2994,1934,2880,1173,51.77,1,2
1,1,131,8397,13541,6259,9871,3607,4923,1462,1655,39.16,1,0
1,1,132,7088,14799,4480,15048,7562,1415,2411,317,31.88,1,0
1,1,133,38247,35008,14670,4142,16971,5083,2217,1442,10.55,1,1
1,1,134,6056,17648,6663,3842,4831,788,691,1318,26.32,1,1
1,1,135,7202,13498,1703,6193,4633,2866,4302,1209,23.8,1,1
1,1,136,409377,31785,6361,3343,3039,183,568,76,70.67,1,1
1,1,137,704,13909,672,3969,6561,4783,1555,1838,40.06,1,1
1,1,138,1585,55172,83,2248,6423,8495,1966,1137,41.06,1,1
1,1,139,3855,16312,3559,695,5918,3138,2129,1381,24.34,1,1
1,1,140,1953,8391,192,4478,7838,6453,825,599,26.95,1,1
1,1,141,13821,18097,3525,7133,5572,2112,1976,1463,36.58,1,1
1,1,142,3652,15599,8093,10737,9190,4922,1951,1330,33.82,1,1
1,1,143,4222,53495,4114,7275,8001,2355,3836,1206,33.72,1,1
1,1,144,16259,16376,908,11193,7893,4007,3342,1081,39.83,1,1
1,1,145,6490,2454,14963,6560,2087,3515,3999,1341,27.76,1,1
1,1,146,10380,4460,2430,8468,3753,3250,4403,2341,6.85,1,1
1,1,147,11313,10554,4467,1938,3821,1618,1721,1134,9.53,1,1
1,1,148,8136,16354,7559,5261,9311,4855,2400,1641,16.52,1,1
1,1,149,9232,20722,7970,10628,6378,6529,2338,708,30.52,1,2
1,1,150,9405,6083,3515,9156,2181,3397,2021,883,18.6,1,1
1,1,151,19263,22944,1776,2626,11782,1696,2189,465,33.65,1,0
1,1,152,2680,12338,10092,2337,7446,2098,2375,2027,28.11,1,1
1,1,153,309591,34379,9144,6032,2858,6287,6020,2384,20.93,1,1
1,1,154,17060,51083,7783,1697,10666,3475,5678,759,19.78,1,1
1,1,155,3635,9091,9456,7188,9876,3544,2237,1454,30.86,1,1
1,1,156,5760,11680,9403,2559,3259,3294,753,852,39.11,1,1
1,1,157,9762,139642,6992,20561,4690,2632,2089,731,10.28,1,1
1,1,158,2316,3831,2707,2049,7214,3518,2867,1779,34.72,1,1
1,1,159,10090,15082,3976,1163,1905,769,1646,605,16.58,1,1
1,1,160,5358,9593,10477,2641,5575,916,1379,779,43.23,1,1
1,1,161,2878,14094,22767,1102,1246,3114,6279,1420,32.3,1,1
1,1,162,3584,13228,11882,3140,9226,3223,2397,1189,36.27,1,1
1,1,163,16383,9768,3956,12134,2893,4645,2159,758,25.9,1,0
1,1,164,1860,7885,3213,1907,4029,5321,2026,1034,23.36,1,2
1,1,165,37318,25497,1698,2193,6724,5058,2799,1264,24.61,1,0
1,1,166,4053,142163,8293,26278,4174,1941,1624,549,10.13,1,1
1,1,167,9018,28857,2039,5706,4603,2096,6252,1198,22.89,1,2
1,1,168,1180,10249,9904,5659,17091,5333,2843,774,25.66,1,1
1,1,169,11128,3859,2555,8370,3021,4306,4339,2877,20.58,1,1
1,1,170,6198,6077,1496,2270,8738,6624,879,748,29.78,1,1
1,1,171,8106,1746,6248,1899,5715,4176,2118,1187,36.2,1,1
1,1,172,1506,5839,2673,3028,5753,2631,2466,1306,27.73,1,1
1,1,173,3655,12383,14409,1831,4892,2163,870,764,50.49,1,1
1,1,174,6191,11597,12704,7991,7095,1945,1515,681,27.19,1,1
1,1,175,8910,24051,3501,522,3993,3778,1773,1277,15.65,1,1
1,1,176,1293,20208,3794,3006,3857,2649,3185,2444,38.85,1,1
1,1,177,5709,11402,12150,11125,5999,1667,2388,842,30.81,1,1
1,1,178,6740,10139,1268,4549,9384,3093,746,751,17.68,1,2
1,1,179,4661,9085,4878,702,3150,3038,4458,1483,19.87,1,2
