ParticipantId,TrialId,Seq,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MiddleGamma,HRV,Level
1,2,45,13228,11082,8037,8156,6517,2514,1326,1340,41.17,0
1,2,46,39046,8660,1032,6464,9835,2825,5465,1632,30.65,0
1,2,47,11203,22213,3476,2470,10978,2346,2218,1583,45.68,0
1,2,48,7820,25482,7337,3323,12889,3562,5079,1564,34.12,0
1,2,49,2308,30121,28551,10685,8398,2681,1815,977,44.5,0
1,2,50,20160,74899,2150,5702,4412,2554,1786,1010,33.37,0
1,2,51,15445,5987,610,1523,7227,2567,2482,1332,45.06,0
1,2,52,11355,15223,8403,6720,3635,6352,1386,516,45.29,0
1,2,53,8416,12797,7748,21907,9104,3040,3409,548,44.93,0
1,2,54,10675,12215,6303,26720,8163,2774,3028,676,37.57,0
1,2,55,4061,23757,3667,8272,3390,4256,1455,848,39.09,0
1,2,56,20963,12161,6814,4377,5157,1911,1114,637,43.08,0
1,2,57,16854,10173,5643,7928,8649,2006,599,1019,30.79,0
1,2,58,12393,3340,5222,10408,13795,2983,2954,1348,25.96,0
1,2,59,33889,12567,1080,7904,7492,4907,4838,1244,28.32,0
1,2,60,4324,10638,5412,7755,16606,2739,3485,1867,47.95,0
1,2,61,65462,22606,5517,11630,3376,1590,3157,1485,23.31,0
1,2,62,15100,7855,5492,2762,5755,3492,1833,1033,32.62,0
1,2,63,32309,9731,13982,11593,9277,2885,2549,355,26.67,0
1,2,64,17930,155186,7575,26582,8827,5635,2962,952,33.06,0
1,2,65,13543,13623,2504,10700,5318,4931,3339,2089,32.31,0
1,2,66,21871,11128,1335,2845,6446,1863,7517,1643,30.99,0
1,2,67,11688,47726,3173,6945,9281,2300,1463,988,24.96,0
1,2,68,50993,39435,9597,22550,6804,3527,3589,1013,53.22,0
1,2,69,13598,23021,1428,7138,9233,10290,2689,1944,36.13,0
1,2,70,24268,11353,5759,16697,10084,10378,3248,2702,19.21,0
1,2,71,17691,23788,5861,3420,2617,2739,961,1058,27.15,0
1,2,72,79572,66103,8588,5145,9643,1927,1297,1607,37.6,0
1,2,73,20511,9198,5675,17554,9749,8524,3925,2452,35.68,0
1,2,74,21033,18720,4540,3605,3393,6090,5448,859,25.38,0
1,2,75,5246,6294,11306,15276,6379,3809,3342,577,41.1,0
1,2,76,4965,14383,891,21218,7189,8096,2952,739,30.16,0
1,2,77,261813,19642,6189,4412,6728,5468,2235,2070,31.06,0
1,2,78,15316,8524,4986,5799,10334,3277,2513,2895,30.17,0
1,2,79,8753,6910,5064,8127,3812,3425,1135,894,45.2,0
1,2,80,29383,40375,9057,15846,4613,2766,2397,1317,28.04,0
1,2,81,9176,12028,13168,4894,7525,3295,1801,1052,30,0
1,2,82,26417,17804,5068,5986,9123,2416,3645,1113,27.72,0
